SIC,HORIZ,"CAR(-1, +1)","CAR(-2, +2)",CROSS,CASH,LEV,Acq_size,Deal Attitude,Deal Status,Percentage of Shares Acquired,Tar. Private,DSIZE,Date (years)
3081,0,0.0039128,-0.018423,1,0,0.8873778,142.694,Friendly,Completed,100,Sub.,,2011
4991,0,-0.015699,-0.004654,0,0,0.826068,15367.76,Friendly,Completed,50,Sub.,,2007
4991,0,0.0340818,0.033637,0,0,0.7835375,4715.042,Friendly,Pending,.,Sub.,,2009
4991,0,0.043897,0.0620427,1,0,0.8070165,14368.955,Neutral,Completed,100,Sub.,,2008
4991,0,0.0122973,-0.006423,1,0,0.7414776,9821.633,Friendly,Completed,100,Public,3110.341,2011
4991,0,0.0128374,-0.018686,1,0,0.826068,14824.685,Friendly,Pending,.,Sub.,,2007
4991,0,0.0175461,0.0443768,0,0,0.8480289,13559.274,Friendly,Completed,40,Priv.,,2006
4991,0,-0.014614,0.0110633,1,0,0.8100139,8898.819,Friendly,Completed,100,Priv.,,2015
4991,0,-0.024005,-0.015861,0,0,0.7875377,11833.637,Neutral,Completed,50.01,J.V.,,2008
4991,0,-0.007147,0.0007391,0,0,0.8242422,13585.734,Friendly,Completed,100,Sub.,,2006
4991,0,-0.04416,-0.088032,0,0,0.8140946,12977.309,Friendly,Completed,100,Priv.,,2008
4991,0,0.0318106,0.0459487,0,0,0.8690164,12271.103,Friendly,Completed,.,Sub.,,2006
3613,0,0.0104412,0.0134523,1,0,0.5164086,37.185,Friendly,Completed,100,Priv.,,2012
6794,0,-0.011184,0.0208073,1,0,1.2492886,421.69,Friendly,Completed,100,Sub.,,2006
6794,0,-0.008589,0.0015173,1,0,0.8398601,628.946,Friendly,Completed,100,Priv.,,2012
3523,1,-0.015694,-0.05364,0,0,0.5795132,4275.463,Friendly,Pending,.,Sub.,,2016
3523,1,0.0248929,0.0081329,0,0,0.5155792,4270.801,Not Appl.,Withdrawn,.,Public,3333.616,2010
3523,1,0.0079126,0.0327356,0,0,0.6038257,3637.353,Friendly,Completed,100,Priv.,,2007
3523,0,-0.01735,-0.011443,1,0,0.5336851,5348.114,Friendly,Pending,.,Sub.,,2014
3523,1,-0.002031,-0.016222,0,0,0.6209906,3786.424,Friendly,Pending,.,Sub.,,2007
3523,1,0.0312736,-0.001975,0,0,0.4957925,3768.923,Friendly,Pending,.,Priv.,,2011
3523,1,0.0188423,0.0392739,0,0,0.5108978,5132.124,Friendly,Pending,.,Priv.,,2011
3523,1,0.0064709,0.0386446,0,0,0.5155792,3780.459,Friendly,Completed,100,Sub.,,2010
3523,1,-0.050555,-0.070384,1,1,0.5023997,3990.114,Friendly,Completed,100,Sub.,,2011
4924,0,-0.007076,-0.003029,1,0,0.7046748,3085.269,Friendly,Completed,100,Priv.,,2007
4924,0,0.0121355,0.0142116,1,0,0.7500552,4773.713,Friendly,Completed,100,Sub.,,2013
4924,1,-0.053995,-0.063594,1,0,0.7362605,3035.04,Friendly,Completed,100,Public,2108.693,2010
4924,0,-0.01931,-0.028827,1,0,0.7136592,2439.696,Friendly,Completed,15,J.V.,,2009
2711,0,0.0180193,-0.013669,1,0,0.3494304,260.721,Friendly,Completed,.,Priv.,,2015
6331,1,-0.025444,-0.035093,1,1,0.890995,187933.84,Friendly,Completed,44.23,Sub.,,2007
6331,0,0.0154368,0.0602791,1,0,0.8769627,1012.096,Neutral,Completed,.,Sub.,,2010
6331,0,-0.208117,0.0275696,0,0,0.9188104,4169.404,Friendly,Completed,.,J.V.,,2008
6331,1,0.0147884,0.0039913,1,0,0.8956999,166658.69,Friendly,Completed,100,Sub.,,2006
6331,1,-0.101944,-0.104289,0,0,0.9137682,84754.961,Friendly,Completed,60,Priv.,,2008
6331,0,-0.012206,0.0054934,0,0,0.890995,186062.04,Not Appl.,Status Unknown,.,Priv.,,2006
6331,0,0.0115504,-0.033126,0,0,0.8901018,173960.49,Not Appl.,Completed,13.5,Sub.,,2007
6331,0,0.0305649,0.0214881,1,0,0.833676,8767.373,Friendly,Withdrawn,.,Sub.,,2011
6331,0,-0.127789,-0.127159,0,0,0.8831563,1279.098,Not Appl.,Status Unknown,.,Public,22262.792,2010
6331,0,0.0001435,-0.013073,0,0,0.8880494,180237.71,Not Appl.,Status Unknown,.,Priv.,,2007
6331,0,-0.016908,-0.001589,0,0,0.8901018,180940.14,Friendly,Completed,100,Sub.,,2007
6331,0,0.0117773,0.0373994,0,0,0.8115721,22335.48,Friendly,Pending,.,Public,328.523,2012
3312,0,0.0478613,0.0258686,1,1,0.8593218,890.937,Friendly,Completed,100,Priv.,,2011
4931,0,0.0048502,0.0227226,1,0,0.6237125,2507.977,Friendly,Completed,87,Sub.,,2015
5051,0,0.0260301,-0.106151,0,0,0.4857417,615.426,Friendly,Completed,100,Priv.,,2008
5051,0,0.074149,0.0988535,1,0,0.4700256,296.354,Friendly,Completed,100,Priv.,,2011
2834,1,-0.148654,-0.1502,1,0,0.27477,581.565,Friendly,Withdrawn,.,Public,214.396,2011
2834,0,-0.026992,-0.004153,1,1,0.5858068,2100.95,Friendly,Completed,100,Sub.,,2015
2834,1,0.3814016,0.3702992,1,0,0.5700396,496.915,Friendly,Completed,100,Priv.,,2014
6798,0,-0.02141,-0.007923,0,0,0.5602822,5534.154,Friendly,Completed,100,Sub.,,2008
6798,1,0.0023946,-0.006807,1,0,0.4807466,13297.175,Friendly,Completed,100,Public,8211.097,2011
6798,0,0.0073587,0.0167141,1,0,0.5648129,4950.326,Friendly,Completed,100,Priv.,,2006
6798,0,0.0046055,-0.002267,0,0,0.5559039,4424.71,Friendly,Completed,100,Priv.,,2006
