Date, Open, High, Low,Close
04/24/14,6674.74,6724.58,6667.65,6703
04/23/14,6681.76,6694.82,6661.42,6674.74
04/22/14,6625.25,6706.19,6625.25,6681.76
04/21/14,6625.25,6627.25,6559.35,6625.25
04/18/14,6625.25,6627.25,6559.35,6625.25
04/17/14,6584.17,6627.25,6559.35,6625.25
04/16/14,6541.61,6596.99,6541.61,6584.17
04/15/14,6583.76,6594.24,6534.2,6541.61
04/14/14,6561.7,6583.76,6507.08,6583.76
04/11/2014,6641.97,6641.97,6538.75,6561.7
04/10/2014,6635.61,6688.28,6620.39,6641.97
04/09/2014,6590.69,6654.05,6590.41,6635.61
04/08/2014,6622.84,6625.19,6549.75,6590.69
04/07/2014,6695.55,6695.55,6614.73,6622.84
04/04/2014,6649.14,6706.34,6649.14,6695.55
04/03/2014,6659.04,6680.78,6638.52,6649.14
04/02/2014,6652.61,6672.73,6639.63,6659.04
04/01/2014,6598.37,6660.27,6598.37,6652.61
03/31/14,6615.58,6658.4,6583.09,6598.37
03/28/14,6588.32,6631.48,6585.73,6615.58
03/27/14,6605.3,6605.3,6561.39,6588.32
03/26/14,6604.89,6643.58,6601.78,6605.3
03/25/14,6520.39,6604.89,6520.39,6604.89
03/24/14,6557.17,6568.96,6506.42,6520.39
03/21/14,6542.44,6572.09,6537.89,6557.17
03/20/14,6573.13,6573.13,6492.62,6542.44
03/19/14,6605.28,6609.46,6566.85,6573.13
03/18/14,6568.35,6628.2,6534.86,6605.28
03/17/14,6527.89,6592.37,6527.87,6568.35
03/14/14,6553.78,6553.78,6500.37,6527.89
03/13/14,6620.9,6631.38,6552.46,6553.78
03/12/2014,6685.52,6685.52,6598.36,6620.9
03/11/2014,6689.45,6718.3,6660.59,6685.52
03/10/2014,6712.67,6757,6671.62,6689.45
03/07/2014,6788.49,6800.66,6706.38,6712.67
03/06/2014,6775.42,6806.62,6770.95,6788.49
03/05/2014,6823.77,6824.16,6771.5,6775.42
03/04/2014,6708.35,6827.22,6708.35,6823.77
03/03/2014,6809.7,6809.7,6671.89,6708.35
02/28/14,6810.27,6833.82,6785.54,6809.7
02/27/14,6799.15,6819.24,6733.54,6810.27
02/26/14,6830.5,6834.09,6785.28,6799.15
02/25/14,6865.86,6866.35,6790.93,6830.5
02/24/14,6838.06,6865.86,6797.83,6865.86
02/21/14,6812.99,6859.91,6812.99,6838.06
02/20/14,6796.71,6812.99,6732.03,6812.99
02/19/14,6796.43,6810.48,6759.86,6796.71
